PT코드,차단단위수,단독차단수,예시_굿즈명,WMS_sync_parts,Sincerely_규격_참고,분류,규격_입력(가로x세로x높이mm)
PT4424,90,19,브랜디드피규어키링,부재(레코드추가),,실측필요,
PT4421,80,15,브랜디드피규어,부재(레코드추가),,실측필요,
PT4894,61,6,스펙트럼컬러펜,부재(레코드추가),,실측필요,
PT3708,60,10,스펙트럼컬러펜,존재(규격공백),,실측필요,
PT3576,57,6,스펙트럼컬러펜,존재(규격공백),,실측필요,
PT2402,55,4,스펙트럼컬러펜,부재(레코드추가),,실측필요,
PT4432,54,12,브랜디드피규어,부재(레코드추가),75x105,2D_P1파서필요,
PT4422,51,12,브랜디드피규어,부재(레코드추가),,실측필요,
PT4464,45,6,브랜디드피규어,존재(규격공백),,실측필요,
PT0535,33,6,Passion더스트백(반투명M),부재(레코드추가),,실측필요,
PT1492,30,7,브릭메모&캘린더스탠드,부재(레코드추가),128x202,2D_P1파서필요,
PT4733,30,6,브랜디드피규어키링,존재(규격공백),,실측필요,
PT3761,30,3,Passion더스트백(반투명M),존재(규격공백),,실측필요,
PT3691,30,2,슬로건다이어리(표준),존재(규격공백),,실측필요,
PT4728,29,6,브랜디드피규어키링,부재(레코드추가),,실측필요,
PT4431,28,4,브랜디드피규어키링,부재(레코드추가),,실측필요,
PT4613,26,1,라이트샤오미펜,존재(규격공백),,실측필요,
PT4590,26,1,라이트샤오미펜,부재(레코드추가),,실측필요,
PT3755,25,5,Solid스탠다드G형박스(L사이즈),존재(규격공백),,실측필요,
PT4113,24,5,와이드클립펜,존재(규격공백),,실측필요,
PT5124,24,2,킵세이프마그넷배터리Max,존재(규격공백),,실측필요,
PT4103,23,4,와이드클립펜,존재(규격공백),,실측필요,
PT4383,23,3,풀커버스티치노트(300개초과),존재(규격공백),,실측필요,
PT3730,23,2,레더스킨다이어리(표준),존재(규격공백),,실측필요,
PT5125,23,2,킵세이프마그넷배터리Max,존재(규격공백),,실측필요,
PT3715,22,21,Simple슬라이드지퍼백(S),존재(규격공백),,실측필요,
PT2486,22,5,Solid스탠다드G형박스(L사이즈),존재(규격공백),,실측필요,
PT3754,22,4,스탠드-업칫솔,존재(규격공백),,실측필요,
PT4274,22,2,시그니처다이어리(블랙),존재(규격공백),,실측필요,
PT4031,21,5,데일리짐색(키트),부재(레코드추가),,실측필요,
PT4083,21,4,데일리짐색(키트),존재(규격공백),,실측필요,
PT5110,20,2,킵세이프마그넷배터리Max,부재(레코드추가),,실측필요,
PT3669,20,1,브랜드-잇,존재(규격공백),,실측필요,
PT3648,19,4,Quality슬리브박스,존재(규격공백),,실측필요,
PT1138,19,4,스탠드-업칫솔,부재(레코드추가),,실측필요,
PT3689,19,3,데코스티커,존재(규격공백),,실측필요,
PT4101,19,1,와이드클립펜,부재(레코드추가),,실측필요,
PT2550,19,1,슬로건다이어리(표준),부재(레코드추가),,실측필요,
PT3641,18,15,리마커블칫솔살균기,존재(규격공백),,실측필요,
PT3735,18,6,애드온뱃지,존재(규격공백),,실측필요,
PT2373,18,2,데코스티커,부재(레코드추가),130x190,2D_P1파서필요,
PT3720,18,2,매트블랙텀블러,존재(규격공백),,실측필요,
PT4836,18,2,핸디링미니선풍기,부재(레코드추가),,실측필요,
PT4840,18,2,핸디링미니선풍기,부재(레코드추가),,실측필요,
PT2527,18,0,브랜드-잇,존재(규격공백),,실측필요,
PT4864,17,4,브랜디드타월,존재(규격공백),,실측필요,
PT4855,17,4,브랜디드타월,부재(레코드추가),,실측필요,
PT3723,17,4,메시지캐리어파우치,존재(규격공백),,실측필요,
PT4028,17,1,데일리짐색(키트),부재(레코드추가),340x435,2D_P1파서필요,
PT5140,17,1,커넥트6in1케이블키트,존재(규격공백),,실측필요,
PT3650,17,1,올웨이즈양우산,존재(규격공백),,실측필요,
PT3235,17,1,액티브스포츠타월,존재(규격공백),,실측필요,
PT3938,17,1,핸디링미니선풍기,존재(규격공백),,실측필요,
PT5108,17,0,킵세이프마그넷배터리Max,부재(레코드추가),,실측필요,
PT5103,16,3,킵세이프마그넷배터리Max,부재(레코드추가),,실측필요,
PT0851,16,2,로고스트랩파우치(키트),부재(레코드추가),290x205,2D_P1파서필요,
PT3236,16,2,액티브스포츠타월,존재(규격공백),,실측필요,
PT3287,16,1,올웨이즈양우산,부재(레코드추가),,실측필요,
PT5138,16,0,커넥트6in1케이블키트,존재(규격공백),,실측필요,
PT4606,15,5,에센셜와인오프너세트,부재(레코드추가),,실측필요,
PT4520,15,4,브릭메모&캘린더스탠드,부재(레코드추가),100x155,2D_P1파서필요,
PT4642,15,4,카드트레이피규어세트,존재(규격공백),,실측필요,
PT3840,15,4,테크미니파우치,부재(레코드추가),,실측필요,
PT2972,15,2,메시지캐리어파우치,부재(레코드추가),,실측필요,
PT4745,15,2,임팩트슬로건타월,부재(레코드추가),1000x200,2D_P1파서필요,
PT3607,15,1,로고스트랩파우치(키트),존재(규격공백),,실측필요,
PT0831,14,4,레더스킨다이어리(표준),부재(레코드추가),,실측필요,
PT3238,14,4,Solid스탠다드G형박스(M사이즈),존재(규격공백),,실측필요,
PT3149,14,3,미니멀스텐머그,부재(레코드추가),,실측필요,
PT0881,14,3,매트블랙텀블러,부재(레코드추가),,실측필요,
PT0875,14,3,매트블랙텀블러,부재(레코드추가),,실측필요,
PT0852,14,2,로고스트랩파우치(키트),부재(레코드추가),,실측필요,
PT1234,14,1,슬로건다이어리(표준),부재(레코드추가),,실측필요,
PT4363,14,1,풀커버스티치노트(300개이하),부재(레코드추가),276x200(펼침면기준),2D_P1파서필요,
PT4374,14,0,풀커버스티치노트(300개이하),부재(레코드추가),,실측필요,
PT4669,13,3,베이직무선충전마우스패드[1],부재(레코드추가),,실측필요,
PT4399,13,2,브랜드팝클리어키링,존재(규격공백),,실측필요,
PT1285,13,2,Motion스탠다드박스(Small),부재(레코드추가),,실측필요,
PT3724,13,2,트리플컬러펜∣JETSTREAM,존재(규격공백),,실측필요,
PT2673,13,2,슬로건다이어리(표준),부재(레코드추가),,실측필요,
PT4030,13,1,데일리짐색(키트),부재(레코드추가),340x435,2D_P1파서필요,
PT4473,13,1,브랜디드피규어키링,부재(레코드추가),24x16,2D_P1파서필요,
PT0847,13,0,로고스트랩파우치(키트),존재(규격공백),,실측필요,
PT4366,13,0,풀커버스티치노트(300개이하),부재(레코드추가),276x200(펼침면기준),2D_P1파서필요,
PT1232,13,0,슬로건다이어리(표준),부재(레코드추가),,실측필요,
PT4771,13,0,임팩트슬로건타월,존재(규격공백),,실측필요,
PT4772,13,0,임팩트슬로건타월,존재(규격공백),,실측필요,
PT5134,12,3,커넥트6in1케이블키트,부재(레코드추가),95x15,2D_P1파서필요,
PT4863,12,2,킵세이프마그넷배터리Slim,부재(레코드추가),,실측필요,
PT4466,12,2,스탠리데일리텀블러,존재(규격공백),,실측필요,
PT4417,12,1,스탠리데일리텀블러,부재(레코드추가),,실측필요,
PT3663,12,1,미니멀스텐머그,존재(규격공백),,실측필요,
PT4425,12,1,브랜디드피규어키링[3],부재(레코드추가),,실측필요,
PT3729,12,1,미르(MiiR)텀블러,존재(규격공백),,실측필요,
PT5147,12,1,베이직도킹형보조배터리,부재(레코드추가),,실측필요,
PT3850,12,1,테크미니파우치,존재(규격공백),,실측필요,
PT2352,12,0,Quality슬리브박스,부재(레코드추가),247x217x93 펼침 339*637,3D_복사가능,
